Bureau of Justice Statistics,,,,,,,,
Filename: ard0309stt09.csv,,,,,,,,
"Table 9. Number of reported arrest-related deaths, by jurisdiction and manner of death, 2003-2009",,,,,,,,
"Report Title: Arrest-Related Deaths, 2003-2009 - Statistical Tables",,,,,,,,
Data Source(s): Arrest-Related Death Program,,,,,,,,
Author(s): Andrea Burch,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765,,,,,,,,
Date of version: 11/17/2011,,,,,,,,
,,,,,,,,
"Table 9. Number of reported arrest-related deaths, by jurisdiction and manner of death, 2003-2009",,,,,,,,
Region and jurisdiction,,All manners,Homicide,Suicide,Intoxication,  Accident,Natural causes,Unknown
,Total,"4,813","2,958",541,525,272,244,273
Northeast,,668,387,79,92,35,58,17
,Connecticut,31,21,4,1,1,3,1
,Maine,22,14,4,2,1,0,1
,Massachusetts,42,18,3,13,1,6,1
,New Hampshire,10,7,2,1,0,0,0
,New Jersey,81,47,7,9,6,8,4
,New Yorka,239,118,30,38,19,28,6
,Pennsylvania,218,149,27,24,5,10,3
,Rhode Island,19,10,1,4,1,2,1
,Vermont,6,3,1,0,1,1,0
Midwest,,822,566,88,63,43,36,26
,Illinois,210,142,25,18,11,11,3
,Indiana,52,50,0,0,0,2,0
,Iowa,48,30,12,0,4,1,1
,Kansas,41,22,3,5,2,3,6
,Michigan,141,94,14,15,8,7,3
,Minnesota,43,33,0,4,3,1,2
,Missouri,26,15,5,2,0,1,3
,Nebraska,17,11,1,0,2,2,1
,North Dakota,7,2,3,2,0,0,0
,Ohio,175,120,15,16,10,8,6
,South Dakota,9,7,2,0,0,0,0
,Wisconsin,53,40,8,1,3,0,1
South,,"1,848","1,061",232,232,115,93,115
,Alabama,28,14,5,3,0,5,1
,Arkansasb,6,1,0,3,0,1,1
,Delaware,15,13,0,1,0,0,1
,District of Columbia,20,15,2,1,0,1,1
,Florida,523,356,31,36,36,9,55
,Georgiab,8,4,0,0,0,1,3
,Kentucky,38,26,7,1,3,1,0
,Louisiana,54,34,2,5,3,5,5
,Marylandb,19,13,0,0,0,3,3
,Mississippi,18,11,2,0,4,1,0
,North Carolina,143,74,26,15,16,7,5
,Oklahoma,64,51,7,3,3,0,0
,South Carolina,61,34,5,10,4,2,6
,Tennessee,28,17,0,5,1,2,3
,Texas,696,308,127,144,40,50,27
,Virginia,113,85,14,3,3,5,3
,West Virginia,14,5,4,2,2,0,1
West,,"1,475",944,142,138,79,57,115
,Alaska,14,9,4,0,1,0,0
,Arizona,238,146,41,23,13,8,7
,California,775,493,31,89,45,39,78
,Colorado,75,41,13,6,7,3,5
,Hawaii,22,8,0,4,2,4,4
,Idaho,23,19,3,0,1,0,0
,Montana,/,/,/,/,/,/,/
,Nevadac,12,9,1,1,0,1,0
,New Mexicob,51,25,17,5,2,1,1
,Oregon,77,67,6,1,3,0,0
,Utah,69,49,16,1,0,0,3
,Washington,118,78,10,8,5,1,16
,Wyoming,1,0,0,0,0,0,1
"Note: Counts include deaths reported by states and deaths identified by BJS staff. Due to variation in reporting practices, caution should be used in comparing jurisdictions from year to year.",,,,,,,,
/Not reported.,,,,,,,,
aThe New York City Police Department sumbits data independent of the State of New York and did not submit data in 2009.,,,,,,,,
"bArkansas and New Mexico cases identified by BJS staff in 2009; Georgia and Maryland cases identified by BJS staff in 2007, 2008, and 2009.",,,,,,,,
"cIn 2008, detailed data were available for 2 of the 8 records known to BJS.",,,,,,,,
